id,order_id,product_id,quantity
1,1,91,1
2,1,28,4
3,2,43,1
4,2,70,2
5,2,60,4
6,2,54,4
7,3,90,4
8,3,3,1
9,3,98,3
10,3,74,3
11,3,49,4
12,4,69,5
13,4,96,2
14,4,95,4
15,4,70,2
16,5,56,4
17,5,63,3
18,5,4,4
19,6,60,5
20,6,17,5
21,7,51,5
22,8,85,2
23,8,4,4
24,8,11,2
25,8,83,1
26,8,55,3
27,9,42,4
28,9,28,3
29,9,59,4
30,9,44,3
31,10,61,1
32,11,7,1
33,11,45,1
34,11,29,2
35,11,84,2
36,11,9,1
37,12,20,1
38,12,31,5
39,12,17,2
40,12,61,4
41,12,86,3
42,13,22,1
43,13,78,2
44,13,96,3
45,14,75,1
46,15,74,4
47,15,87,2
48,15,49,1
49,16,89,3
50,16,81,5
51,16,32,1
52,16,14,5
53,16,90,1
54,17,69,3
55,17,55,1
56,17,85,5
57,18,2,1
58,18,54,4
59,18,63,3
60,19,91,5
61,19,20,3
62,19,56,5
63,19,23,5
64,20,60,3
65,20,56,3
66,20,94,2
67,20,76,1
68,21,58,4
69,21,32,5
70,21,97,5
71,22,44,2
72,22,4,4
73,22,64,2
74,22,42,3
75,23,44,3
76,23,36,5
77,23,77,1
78,24,25,4
79,24,11,5
80,24,31,2
81,24,93,4
82,24,53,4
83,25,3,4
84,25,12,2
85,25,38,3
86,25,29,5
87,26,61,3
88,26,71,4
89,26,68,5
90,27,46,3
91,27,90,3
92,27,59,3
93,28,16,2
94,28,93,3
95,29,96,5
96,30,25,4
97,30,28,3
98,31,98,2
99,31,68,3
100,31,77,2
101,31,37,3
102,31,13,2
103,32,2,2
104,32,91,3
105,32,69,1
106,33,71,3
107,34,82,4
108,34,97,1
109,35,74,3
110,36,62,1
111,36,57,3
112,36,44,4
113,36,24,1
114,37,52,4
115,38,74,1
116,39,20,3
117,39,73,1
118,40,16,4
119,40,72,5
120,41,80,4
121,41,29,4
122,41,100,3
123,41,67,5
124,41,49,4
125,42,73,5
126,42,80,1
127,42,8,2
128,43,34,1
129,43,85,2
130,44,23,1
131,44,71,2
132,45,53,4
133,46,61,3
134,46,38,4
135,46,5,1
136,46,30,2
137,46,37,3
138,47,85,2
139,47,26,2
140,47,55,3
141,47,15,2
142,47,70,1
143,48,22,3
144,49,96,4
145,49,73,3
146,49,37,4
147,49,57,3
148,49,16,5
149,50,64,4
150,50,57,3
151,50,11,5
152,50,77,3
153,50,6,1
154,51,30,5
155,52,3,1
156,52,98,2
157,52,87,4
158,52,35,5
159,52,74,4
160,53,24,4
161,53,75,1
162,53,56,4
163,54,53,1
164,54,43,2
165,54,42,3
166,55,89,4
167,55,64,5
168,55,37,1
169,55,85,4
170,56,41,3
171,57,15,5
172,57,99,1
173,57,52,5
174,58,53,3
175,58,7,5
176,58,25,4
177,58,67,4
178,59,27,3
179,60,17,1
180,60,37,1
181,60,57,5
182,60,90,2
183,60,63,2
184,61,71,1
185,61,2,2
186,61,53,1
187,62,16,3
188,62,83,5
189,62,20,3
190,62,64,4
191,63,61,2
192,63,32,4
193,63,59,2
194,63,71,5
195,64,96,4
196,64,18,3
197,64,9,5
198,64,36,3
199,64,99,1
200,65,93,5
201,65,39,4
202,65,76,2
203,66,69,5
204,66,62,5
205,66,45,4
206,66,43,4
207,67,25,5
208,67,90,4
209,67,31,2
210,68,6,4
211,68,41,4
212,68,96,2
213,68,61,4
214,69,17,5
215,70,43,1
216,70,13,2
217,70,57,4
218,70,68,2
219,70,59,1
220,71,34,4
221,71,44,1
222,71,80,3
223,71,89,5
224,72,41,4
225,72,81,5
226,72,92,1
227,72,98,5
228,73,31,3
229,74,96,4
230,74,12,1
231,75,57,2
232,76,4,1
233,76,6,3
234,76,42,3
235,77,56,5
236,77,19,4
237,77,32,5
238,78,22,1
239,78,23,5
240,79,80,5
241,79,88,2
242,79,31,2
243,79,64,4
244,80,59,1
245,80,33,4
246,80,86,3
247,81,21,3
248,81,10,4
249,81,57,3
250,81,45,4
251,81,76,3
252,82,50,1
253,82,62,2
254,83,74,3
255,83,46,1
256,83,38,4
257,83,90,3
258,84,73,1
259,85,96,5
260,85,64,3
261,85,37,2
262,85,100,2
263,85,30,5
264,86,87,2
265,86,97,1
266,86,93,1
267,87,57,3
268,87,5,2
269,87,75,1
270,88,42,2
271,88,96,2
272,88,54,2
273,89,47,3
274,89,68,4
275,89,65,3
276,89,35,3
277,89,22,1
278,90,10,4
279,90,19,5
280,90,97,3
281,90,29,1
282,91,2,4
283,91,34,3
284,91,69,3
285,91,16,5
286,92,82,2
287,92,48,4
288,92,14,1
289,92,87,5
290,93,42,4
291,93,79,3
292,93,29,4
293,93,83,1
294,93,9,2
295,94,5,3
296,95,15,2
297,95,13,4
298,95,31,4
299,95,69,3
300,96,54,4
301,96,76,1
302,96,96,4
303,96,94,5
304,96,20,4
305,97,5,2
306,97,89,4
307,97,48,4
308,98,47,3
309,98,13,5
310,99,8,2
311,99,51,1
312,99,36,4
313,100,85,2
314,101,3,5
315,101,7,2
316,101,43,1
317,101,32,5
318,101,17,2
319,102,28,5
320,102,30,1
321,102,43,3
322,102,100,2
323,102,19,2
324,103,33,2
325,103,23,1
326,103,15,3
327,103,85,2
328,103,4,5
329,104,3,1
330,104,23,2
331,104,34,4
332,105,15,3
333,105,96,5
334,105,9,5
335,105,61,1
336,105,58,4
337,106,29,5
338,106,79,3
339,106,6,4
340,106,94,1
341,106,85,1
342,107,52,4
343,107,55,4
344,107,88,1
345,107,14,1
346,108,78,2
347,108,19,3
348,108,9,5
349,109,71,5
350,109,92,3
351,109,42,4
352,109,49,5
353,109,77,5
354,110,13,5
355,110,90,2
356,110,15,4
357,110,84,4
358,111,53,4
359,111,44,4
360,112,94,3
361,112,13,3
362,112,41,3
363,112,55,2
364,113,9,1
365,113,12,3
366,113,11,2
367,113,56,5
368,114,76,5
369,115,43,4
370,115,86,1
371,115,16,3
372,115,53,5
373,115,46,3
374,116,14,2
375,116,74,2
376,116,65,4
377,117,14,5
378,117,45,3
379,118,98,3
380,119,29,5
381,119,55,5
382,119,72,1
383,119,99,5
384,119,80,3
385,120,24,3
386,121,44,2
387,121,45,2
388,121,1,5
389,122,9,1
390,122,19,1
391,122,95,5
392,122,82,2
393,123,54,3
394,123,59,3
395,123,44,3
396,123,21,5
397,124,11,5
398,124,7,1
399,124,20,1
400,124,21,3
401,124,97,4
402,125,63,3
403,125,78,2
404,125,57,5
405,125,54,1
406,126,56,5
407,126,15,4
408,126,37,5
409,127,6,5
410,127,29,1
411,127,51,1
412,128,39,2
413,128,28,3
414,129,42,4
415,129,16,4
416,129,1,2
417,130,49,2
418,130,69,5
419,131,86,1
420,131,46,4
421,131,10,1
422,131,51,4
423,131,95,1
424,132,74,4
425,132,55,3
426,132,52,1
427,133,3,4
428,133,42,3
429,133,22,1
430,133,80,4
431,134,32,4
432,135,52,3
433,135,68,2
434,135,11,3
435,135,51,2
436,135,40,1
437,136,82,3
438,136,15,3
439,136,68,2
440,136,66,2
441,136,25,1
442,137,33,2
443,137,26,5
444,138,98,1
445,138,84,2
446,139,60,5
447,139,97,4
448,139,73,5
449,139,98,5
450,140,81,4
451,140,41,1
452,140,20,4
453,141,81,1
454,141,39,3
455,141,36,5
456,141,76,1
457,142,60,1
458,142,58,3
459,142,5,3
460,143,83,1
461,144,77,5
462,144,65,1
463,144,50,4
464,144,60,5
465,144,75,2
466,145,78,2
467,145,61,1
468,145,65,4
469,146,44,1
470,147,83,4
471,147,23,4
472,147,6,5
473,147,32,5
474,147,91,5
475,148,47,3
476,148,48,4
477,149,100,1
478,149,44,3
479,149,87,1
480,149,77,3
481,150,72,4
482,151,33,5
483,151,93,2
484,151,85,3
485,152,75,2
486,153,40,4
487,153,84,2
488,153,90,5
489,154,40,5
490,155,83,5
491,155,43,1
492,155,17,4
493,155,86,5
494,156,3,2
495,156,47,2
496,156,40,3
497,157,25,1
498,157,29,3
499,157,18,1
500,157,20,5
501,158,95,5
502,158,68,2
503,158,5,5
504,158,85,4
505,158,44,2
506,159,24,5
507,159,89,2
508,160,6,2
509,160,53,4
510,160,47,5
511,160,87,3
512,161,30,4
513,161,69,2
514,161,31,3
515,161,40,5
516,162,60,4
517,162,99,5
518,162,37,5
519,162,100,4
520,163,26,2
521,163,78,3
522,164,83,4
523,165,71,5
524,165,14,1
525,165,92,3
526,166,98,2
527,167,58,4
528,167,66,1
529,167,19,2
530,168,45,4
531,168,4,5
532,168,54,3
533,168,7,2
534,169,11,3
535,169,48,1
536,169,29,3
537,169,4,2
538,170,5,4
539,170,37,2
540,171,58,1
541,171,79,3
542,171,1,2
543,171,11,2
544,172,94,3
545,172,78,2
546,172,68,3
547,172,55,1
548,172,15,1
549,173,54,5
550,173,82,4
551,174,15,4
552,175,69,2
553,175,3,2
554,175,81,3
555,175,66,4
556,175,74,1
557,176,46,1
558,176,31,5
559,176,74,3
560,176,54,1
561,176,24,5
562,177,65,1
563,177,71,4
564,177,3,3
565,177,50,3
566,177,61,1
567,178,9,1
568,178,45,5
569,178,31,3
570,179,6,5
571,179,46,3
572,180,100,4
573,180,88,4
574,181,18,4
575,181,9,1
576,182,26,3
577,182,6,5
578,182,41,4
579,183,61,2
580,183,33,3
581,183,5,3
582,183,97,1
583,183,83,3
584,184,16,4
585,184,48,4
586,184,56,4
587,185,24,4
588,185,64,3
589,185,89,5
590,186,11,1
591,186,94,4
