id,name,price,category_id
1,Managed regional functionalities,321.52,1
2,Switchable bottom-line success,372.07,4
3,Innovative motivating function,115.49,2
4,Synchronized incremental Graphic Interface,339.97,9
5,Open-architected tangible frame,48.03,7
6,Reactive clear-thinking core,20.73,2
7,Operative static implementation,113.23,9
8,Synergistic value-added conglomeration,303.00,9
9,Seamless non-volatile framework,103.42,9
10,Open-architected neutral ability,212.66,8
11,Innovative executive database,296.69,1
12,Optional zero tolerance paradigm,380.61,3
13,Robust solution-oriented Graphic Interface,350.58,6
14,Persistent leadingedge intranet,142.55,4
15,Synergistic didactic migration,478.82,6
16,Phased user-facing concept,55.59,7
17,Switchable attitude-oriented forecast,52.87,6
18,Profound stable productivity,303.84,1
19,Secured full-range array,366.22,9
20,Versatile disintermediate service-desk,66.79,7
21,Integrated directional workforce,44.01,5
22,Exclusive client-server algorithm,415.56,10
23,Balanced dynamic leverage,443.30,6
24,Seamless zero administration archive,290.79,2
25,Persevering intangible product,27.68,4
26,Re-engineered content-based structure,387.67,2
27,Total human-resource methodology,428.38,2
28,Open-architected dynamic circuit,193.16,8
29,Streamlined system-worthy ability,319.66,6
30,Versatile zero administration benchmark,85.51,6
31,Vision-oriented interactive definition,108.71,5
32,Enhanced tangible model,352.40,2
33,Persistent actuating open architecture,306.52,3
34,Fully-configurable bottom-line knowledgebase,269.40,4
35,Devolved maximized secured line,85.88,7
36,Progressive next generation policy,138.62,9
37,Intuitive web-enabled intranet,113.71,6
38,Seamless uniform middleware,422.21,1
39,Optimized neutral knowledge user,118.38,1
40,Diverse value-added leverage,403.50,7
41,Organized empowering system engine,137.53,4
42,Fully-configurable scalable focus group,457.00,10
43,Visionary zero-defect model,438.80,6
44,Pre-emptive responsive encoding,110.25,8
45,Grass-roots leadingedge archive,200.84,8
46,Universal executive encoding,75.72,3
47,Future-proofed full-range functionalities,127.08,9
48,Quality-focused attitude-oriented challenge,271.79,10
49,Distributed discrete info-mediaries,217.07,10
50,Team-oriented coherent strategy,202.70,4
51,Extended asymmetric instruction set,498.68,3
52,Open-source full-range moratorium,257.22,2
53,Persistent intangible approach,379.11,2
54,Expanded intangible info-mediaries,80.66,3
55,Visionary optimal standardization,397.08,7
56,Ameliorated well-modulated orchestration,300.22,7
57,Multi-tiered mission-critical ability,193.90,8
58,Multi-channeled exuding system engine,266.91,9
59,Networked intangible monitoring,431.09,1
60,User-friendly user-facing moratorium,341.74,2
61,Robust directional matrix,342.45,9
62,Face-to-face encompassing Internet solution,376.68,6
63,Pre-emptive 4thgeneration info-mediaries,60.22,7
64,Mandatory static service-desk,83.29,1
65,Open-architected uniform concept,477.14,5
66,Persistent clear-thinking process improvement,486.08,3
67,Public-key 4thgeneration infrastructure,256.30,2
68,Reverse-engineered non-volatile protocol,435.91,5
69,Assimilated attitude-oriented project,421.63,9
70,Optimized client-driven Local Area Network,306.44,3
71,Enterprise-wide actuating firmware,190.09,3
72,Multi-tiered fresh-thinking data-warehouse,271.99,9
73,Persevering fresh-thinking Graphical User Interface,459.65,10
74,Virtual homogeneous focus group,165.46,1
75,Versatile intangible extranet,60.37,6
76,Configurable methodical adapter,439.97,5
77,User-friendly needs-based application,123.53,4
78,Monitored directional projection,439.61,2
79,Cloned zero-defect projection,47.40,8
80,Balanced web-enabled algorithm,408.93,9
81,Fully-configurable dedicated adapter,384.09,3
82,Secured coherent encoding,331.58,9
83,De-engineered methodical secured line,86.74,9
84,Customizable non-volatile data-warehouse,436.85,7
85,Persistent tangible extranet,482.36,9
86,Visionary holistic concept,378.86,4
87,Robust real-time synergy,357.91,7
88,Universal bifurcated time-frame,497.60,6
89,Diverse fault-tolerant benchmark,221.86,9
90,Reduced 4thgeneration function,228.49,4
91,Re-engineered systematic implementation,116.23,6
92,Object-based transitional customer loyalty,15.41,9
93,Compatible optimizing solution,118.91,4
94,Self-enabling dynamic benchmark,8.56,1
95,Total zero administration framework,118.33,1
96,Synergized radical workforce,430.52,2
97,Decentralized non-volatile toolset,259.51,5
98,Balanced grid-enabled monitoring,336.14,4
99,Optimized stable hub,271.92,10
100,Cloned motivating project,290.22,4
